Date,Open,High,Low,Close,Volume,Company
08-04-2020,108.9100037,109.7699966,108.1699982,108.6600037,23581700,APPLE
11-04-2020,108.9700012,110.6100006,108.8300018,109.0199966,29407500,APPLE
12-04-2020,109.3399963,110.5,108.6600037,110.4400024,27232300,APPLE
13-04-2020,110.8000031,112.3399963,110.8000031,112.0400009,33257300,APPLE
14-04-2020,111.6200027,112.3899994,111.3300018,112.0999985,25473900,APPLE
15-04-2020,112.1100006,112.3000031,109.7300034,109.8499985,46939000,APPLE
18-04-2020,108.8899994,108.9499969,106.9400024,107.4800034,60821500,APPLE
19-04-2020,107.8799973,108,106.2300034,106.9100037,32384900,APPLE
20-04-2020,106.6399994,108.0899963,106.0599976,107.1299973,30611000,APPLE
21-04-2020,106.9300003,106.9300003,105.5199966,105.9700012,31552500,APPLE
22-04-2020,105.0100021,106.4800034,104.6200027,105.6800003,33683100,APPLE
25-04-2020,105,105.6500015,104.5100021,105.0800018,28031600,APPLE
26-04-2020,103.9100037,105.3000031,103.9100037,104.3499985,56016200,APPLE
27-04-2020,96,98.70999908,95.68000031,97.81999969,114602100,APPLE
28-04-2020,97.61000061,97.87999725,94.25,94.83000183,82242700,APPLE
29-04-2020,93.98999786,94.72000122,92.51000214,93.73999786,68531500,APPLE
02-05-2020,93.97000122,94.08000183,92.40000153,93.63999939,48160100,APPLE
03-05-2020,94.19999695,95.73999786,93.68000031,95.18000031,56831300,APPLE
04-05-2020,95.19999695,95.90000153,93.81999969,94.19000244,41025500,APPLE
05-05-2020,94,94.06999969,92.68000031,93.23999786,35890500,APPLE
06-05-2020,93.37000275,93.44999695,91.84999847,92.72000122,43699900,APPLE
09-05-2020,93,93.76999664,92.58999634,92.79000092,32936400,APPLE
10-05-2020,93.33000183,93.56999969,92.11000061,93.41999817,33686800,APPLE
11-05-2020,93.48000336,93.56999969,92.45999908,92.51000214,28719100,APPLE
12-05-2020,92.72000122,92.77999878,89.47000122,90.33999634,76314700,APPLE
13-05-2020,90,91.66999817,90,90.51999664,44392800,APPLE
16-05-2020,92.38999939,94.38999939,91.65000153,93.87999725,61259800,APPLE
17-05-2020,94.55000305,94.69999695,93.01000214,93.48999786,46916900,APPLE
18-05-2020,94.16000366,95.20999908,93.88999939,94.55999756,42062400,APPLE
19-05-2020,94.63999939,94.63999939,93.56999969,94.19999695,30442100,APPLE
20-05-2020,94.63999939,95.43000031,94.51999664,95.22000122,32026000,APPLE
23-05-2020,95.87000275,97.19000244,95.66999817,96.43000031,38018600,APPLE
24-05-2020,97.22000122,98.08999634,96.83999634,97.90000153,35140200,APPLE
25-05-2020,98.66999817,99.73999786,98.11000061,99.62000275,38168800,APPLE
26-05-2020,99.68000031,100.7300034,98.63999939,100.4100037,56331200,APPLE
27-05-2020,99.44000244,100.4700012,99.25,100.3499985,36341200,APPLE
31-05-2020,99.59999847,100.4000015,98.81999969,99.86000061,42307200,APPLE
01-06-2020,99.01999664,99.54000092,98.33000183,98.45999908,29173300,APPLE
02-06-2020,97.59999847,97.83999634,96.62999725,97.72000122,40191600,APPLE
03-06-2020,97.79000092,98.26999664,97.44999695,97.91999817,28504900,APPLE
06-06-2020,97.98999786,101.8899994,97.55000305,98.62999725,23292500,APPLE
07-06-2020,99.25,99.87000275,98.95999908,99.02999878,22409500,APPLE
08-06-2020,99.01999664,99.55999756,98.68000031,98.94000244,20848100,APPLE
09-06-2020,98.5,99.98999786,98.45999908,99.65000153,26601400,APPLE
10-06-2020,98.52999878,99.34999847,98.48000336,98.83000183,31712900,APPLE
13-06-2020,98.69000244,99.12000275,97.09999847,97.33999634,38020500,APPLE
14-06-2020,97.31999969,98.48000336,96.75,97.45999908,31931900,APPLE
15-06-2020,97.81999969,98.41000366,97.02999878,97.13999939,29445200,APPLE
16-06-2020,96.44999695,97.75,96.06999969,97.55000305,31326800,APPLE
17-06-2020,96.62000275,96.65000153,95.30000305,95.33000183,61008200,APPLE
20-06-2020,96,96.56999969,95.02999878,95.09999847,34411900,APPLE
21-06-2020,94.94000244,96.34999847,94.68000031,95.91000366,35546400,APPLE
22-06-2020,96.25,96.88999939,95.34999847,95.55000305,29219100,APPLE
23-06-2020,95.94000244,96.29000092,95.25,96.09999847,32240200,APPLE
24-06-2020,92.91000366,94.66000366,92.65000153,93.40000153,75311400,APPLE
27-06-2020,93,93.05000305,91.5,92.04000092,45489600,APPLE
28-06-2020,92.90000153,93.66000366,92.13999939,93.58999634,40444900,APPLE
29-06-2020,93.97000122,94.55000305,93.62999725,94.40000153,36531000,APPLE
30-06-2020,94.44000244,95.76999664,94.30000305,95.59999847,35836400,APPLE
01-07-2020,95.48999786,96.47000122,95.33000183,95.88999939,26026500,APPLE
05-07-2020,95.38999939,95.40000153,94.45999908,94.98999786,27705200,APPLE
06-07-2020,94.59999847,95.66000366,94.37000275,95.52999878,30949100,APPLE
07-07-2020,95.69999695,96.5,95.62000275,95.94000244,25139600,APPLE
08-07-2020,96.48999786,96.88999939,96.05000305,96.68000031,28912100,APPLE
11-07-2020,96.75,97.65000153,96.73000336,96.98000336,23794900,APPLE
12-07-2020,97.16999817,97.69999695,97.12000275,97.41999817,24167500,APPLE
13-07-2020,97.41000366,97.66999817,96.83999634,96.87000275,25892200,APPLE
14-07-2020,97.38999939,98.98999786,97.31999969,98.79000092,38919000,APPLE
15-07-2020,98.91999817,99.30000305,98.5,98.77999878,30137000,APPLE
18-07-2020,98.69999695,100.1299973,98.59999847,99.83000183,36493900,APPLE
19-07-2020,99.55999756,100,99.33999634,99.87000275,23779900,APPLE
20-07-2020,100,100.4599991,99.73999786,99.95999908,26276000,APPLE
21-07-2020,99.83000183,101,99.12999725,99.43000031,32702000,APPLE
22-07-2020,99.26000214,99.30000305,98.30999756,98.66000366,28313700,APPLE
25-07-2020,98.25,98.83999634,96.91999817,97.33999634,40382900,APPLE
26-07-2020,96.81999969,97.97000122,96.41999817,96.66999817,56239800,APPLE
27-07-2020,104.2699966,104.3499985,102.75,102.9499969,92344800,APPLE
28-07-2020,102.8300018,104.4499969,102.8199997,104.3399963,39869800,APPLE
29-07-2020,104.1900024,104.5500031,103.6800003,104.2099991,27733700,APPLE
01-08-2020,104.4100037,106.1500015,104.4100037,106.0500031,38167900,APPLE
02-08-2020,106.0500031,106.0699997,104,104.4800034,33816600,APPLE
03-08-2020,104.8099976,105.8399963,104.7699966,105.7900009,30202600,APPLE
04-08-2020,105.5800018,106,105.2799988,105.8700027,27408700,APPLE
05-08-2020,106.2699966,107.6500015,106.1800003,107.4800034,40553400,APPLE
08-08-2020,107.5199966,108.3700027,107.1600037,108.3700027,28037200,APPLE
09-08-2020,108.2300034,108.9400024,108.0100021,108.8099976,26315200,APPLE
10-08-2020,108.7099991,108.9000015,107.7600021,108,24008500,APPLE
11-08-2020,108.5199966,108.9300003,107.8499985,107.9300003,27484500,APPLE
12-08-2020,107.7799988,108.4400024,107.7799988,108.1800003,18660400,APPLE
15-08-2020,108.1399994,109.5400009,108.0800018,109.4800034,25868200,APPLE
16-08-2020,109.6299973,110.2300034,109.2099991,109.3799973,33794400,APPLE
17-08-2020,109.0999985,109.3700027,108.3399963,109.2200012,25356000,APPLE
18-08-2020,109.2300034,109.5999985,109.0199966,109.0800018,21984700,APPLE
19-08-2020,108.7699966,109.6900024,108.3600006,109.3600006,25368100,APPLE
22-08-2020,108.8600006,109.0999985,107.8499985,108.5100021,25820200,APPLE
23-08-2020,108.5899963,109.3199997,108.5299988,108.8499985,21257700,APPLE
24-08-2020,108.5699997,108.75,107.6800003,108.0299988,23675100,APPLE
25-08-2020,107.3899994,107.8799973,106.6800003,107.5699997,25086200,APPLE
26-08-2020,107.4100037,107.9499969,106.3099976,106.9400024,27766300,APPLE
29-08-2020,106.6200027,107.4400024,106.2900009,106.8199997,24970300,APPLE
30-08-2020,105.8000031,106.5,105.5,106,24863900,APPLE
31-08-2020,105.6600037,106.5699997,105.6399994,106.0999985,29662400,APPLE
01-09-2020,106.1399994,106.8000031,105.6200027,106.7300034,26701500,APPLE
02-09-2020,107.6999969,108,106.8199997,107.7300034,26802500,APPLE
06-09-2020,107.9000015,108.3000031,107.5100021,107.6999969,26880400,APPLE
07-09-2020,107.8300018,108.7600021,107.0699997,108.3600006,42364300,APPLE
08-09-2020,107.25,107.2699966,105.2399979,105.5199966,53002000,APPLE
09-09-2020,104.6399994,105.7200012,103.1299973,103.1299973,46557000,APPLE
12-09-2020,102.6500015,105.7200012,102.5299988,105.4400024,45292800,APPLE
13-09-2020,107.5100021,108.7900009,107.2399979,107.9499969,62176200,APPLE
14-09-2020,108.7300034,113.0299988,108.5999985,111.7699966,110888700,APPLE
15-09-2020,113.8600006,115.7300034,113.4899979,115.5699997,89983600,APPLE
16-09-2020,115.1200027,116.1299973,114.0400009,114.9199982,79886900,APPLE
19-09-2020,115.1900024,116.1800003,113.25,113.5800018,47023000,APPLE
20-09-2020,113.0500031,114.1200027,112.5100021,113.5699997,34514300,APPLE
21-09-2020,113.8499985,113.9899979,112.4400024,113.5500031,36003200,APPLE
22-09-2020,114.3499985,114.9400024,114,114.6200027,31074000,APPLE
23-09-2020,114.4199982,114.7900009,111.5500031,112.7099991,52481200,APPLE
26-09-2020,111.6399994,113.3899994,111.5500031,112.8799973,29869400,APPLE
